id,title
"219","Discitisspinal disk inflammation"
"220","Dislocationjoint out of place"
"223","Unisom overdosedoxylamine overdose"
"225","Drug overusePrescription Drug Overuse"
"226","Drug overdose"
"227","Drug reaction"
"228","Dry air nasal irritation"
"232","Ear lacerationcut on the ear"
"233","Ear swelling"
"234","Eclampsiahypertensive disorder of pregnancy"
"235","EcstasyMDMA abuse"
"236","Ectopic pregnancytubal pregnancy"
"237","ElapidElapid venomcobra, coral, mamba venom toxicity"
"239","Encephalitisbrain infection"
"240","Endometrial cancercancer of the lining of the uterus"
"249","Inflammation of testicular tubesepididymitis"
"251","Epidural hematomableeding around brain or spine"
"252","Epiglottitissevere throat inflammation"
"255","Erythrasmachronic bacterial skin infection"
"263","Esophageal varicesdilation of esophageal veins"
"264","Esophageal webSchatzki's ring, constriction of esophagus"
"267","Estrogen withdrawalfemale hormone"
"269","Extremity traumaleg or arm injury"
"271","Eyelid lacerationskin cut"
"272","Eyelid swelling"
"273","Facial lacerationskin cut"
"274","Facial traumafacial injury"
"275","Facial swelling"
"277","False pregnancy"
"278","Familial cold urticariacold-related hives"
"282","Fecal impactionrectal blockage from stool"
"285","Femoral herniagroin hernia"
"288","Fever of unknown originfever without obvious cause"
"290","Fibroiduterine muscle tumor"
"291","Fibromyalgiachronic pain disorder"
"293","Finger lacerationskin cut"
"295","Finger swelling"
"296","Foot lacerationskin cut"
"297","Foot swelling"
"298","Foreign bodyobject originating outside the body"
"301","Foreign body, rectal"
"302","Fracturebroken bone"
"303","Functional disorderspsychogenic illness"
"304","Fungal infections"
"305","Bacterial vaginosisBV, garnerella vaginalis"
"307","Gastritisstomach inflammation"
"311","Gastrointestinal perforationhole in the stomach, intestine"
"315","Gestational diabetesdiabetes during pregnancy"
"316","Gestational hypertensionhigh blood pressure in pregnancy"
"318","Gingivitisinflammation of the gums"
"324","Hammer toestoe deformity"
"325","Hand lacerationskin cut"
"326","Hand swelling"
"329","Head injury"
"330","Head trauma"
"337","Heat stroke"
"338","Hematocelecollection of blood around testicle"
"339","Hematomacollection of blood"
"341","Hemoptysiscoughing blood"
"342","Hemorrhage of pregnancyvaginal bleeding during pregnancy"
"344","Hemotympanumblood behind ear drum"
"350","Herniated discslipped disc, ruptured disc"
"356","Hip fracturebroken hip"
"357","Hirschsprung diseasepediatric large intestine paralysis"
"364","Hypertensionhigh blood pressure"
"365","Hypertensive emergencyseverely high blood pressure"
"367","Hyperthyroidismelevated thyroid hormone"
"368","Hypertrophic cardiomyopathythickened heart muscle"
"371","Hypocalcemialow blood calcium"
"378","Hypoxialack of oxygen"
"379","Nonsteroidal anti-inflammatory drug overdoseMotrin, Advil"
"380","Immobilitylack of movement"
"381","Impacted toothtooth that doesn't erupt"
"382","Impingement syndrome of shoulderbone rubs again tendon, bursa"
"383","Infection"
"385","Inflammatory bowel disease"
"386","Inflammatory conditions"
"389","Inhalants abusehuffing"
"391","Insulin overdose"
"396","Intrahepatic cholestasis of pregnancyliver disorder in pregnancy"
"398","Intravenous drug abuseIVDA"
"400","Iron overdose"
"402","Jet lag"
"406","Kidney cancertumor"
"407","Knee lacerationskin cut"
"408","Knee swelling"
"410","Lacerationskin cut"
"412","Laryngeal carcinomathroat cancer"
"415","Laxative abuse"
"418","Leg lacerationskin cut"
"419","Leg swellingleg edema"
"420","Legg Calve Perthes diseasechildhood hip condition"
"421","LegionellosisLegionnaires' disease"
"426","Ligament sprainconnection between two bones"
"427","Ligament tearconnection between two bones"
"428","Limb ischemiadecreased blood flow"
"429","Lip lacerationskin cut"
"430","Lip swelling"
"440","Lung cancertumor"
"444","Magic mushroom ingestionpsilocybin"
"448","Malignant hyperthermiarare temperature abnormality"
"452","Marijuana use"
"454","Maxillary sinus carcinomasinus cancer"
"463","Meniscus injuryknee cartilage injury"
"465","Peyote abusemescaline abuse"
"466","Metastatic neoplasmcancer spread"
"467","Methamphetamine abuse"
"470","Miscarriage"
"473","Molar pregnancygestational trophoblastic disease, pregnancy-related tumor"
"475","Mosquito bite"
"478","Mouth lacerationmouth cut"
"479","Mouth swelling"
"482","Multiple pregnancytwins, triplets, etc"
"485","Munchausen syndromefabricated illness"
"486","Munchausen syndrome by proxyfabricated illness in a dependent"
"492","Myocardial infarctionheart attack"
"495","Myositismuscle inflammation or infection"
"497","Nail avulsiontraumatic removal of nail"
"498","Nail bruisesubungual hematoma"
"499","Nail contusionswelling of finger and nail"
"500","Nail lacerationnail bed cut"
"502","Narcoticmorphine, heroin abuse"
"503","Narcoticmorphine, heroin overdose"
"504","Nasal cancertumor"
"505","Nasal fracturebroken nose"
"507","Nasal traumanose injury"
"508","Nasopharyngeal carcinomatumor"
"512","Neisseria meningitidis infectionNeisseria meningitidismeningococcus, serious bacterial illness"
"515","Non venomous snake bite"
"516","Normal menstruation"
"517","Norovirus infectionviral diarrhea, Norwalk virus"
"519","Nursemaid's elbowradial head subluxation"
"523","Ophthalmoplegiaeye muscle weakness"
"526","Oral ulcersmouth ulcers"
"528","Orbital fracturebroken bone near the eye"
"529","Orbital massgrowth near the eye"
"530","Orchitisinflammation of the testicles"
"532","Osteoarthritisbone inflammation"
"537","Ototoxicityear toxicity"
"539","Ovarian cystfemale organ fluid collection"
"540","Ovarian torsiontwisting of the ovary"
"541","Overdose"
"542","Overuse syndromeinjury from repetitive activity"
"543","Paget disease of the nipplerare breast cancer"
"544","Pancoast syndromeapical lung tumor"
"546","Pancreatitispancreas inflammation"
"550","Parasite infection"
"552","Paronychiainfection around the nail"
"554","Patellar dislocationknee cap dislocation"
"555","Patellarknee cap tendon rupture"
"558","Penis carcinomatumor"
"560","Perforated septumhole in skin between nostrils"
"561","Pericarditisheart sac inflammation"
"562","Periodontitisgum inflammation"
"563","Periorbital cellulitisinfection around eye"
"570","Pesticide poisoningorganophosphate poisoning"
"573","Pheochromocytomaadrenal gland tumor"
"576","Pituitary tumor"
"578","Placenta previaplacenta covers cervix"
"579","Placental abruptionplacenta separation"
"582","Plantar warthuman papilloma virus infection, foot warts"
"587","Poisoning"
"596","Posterior inferior cerebellar artery syndromestroke syndrome"
"599","Pregnancy"
"601","Prescription drug abuse"
"602","Preseptal hematomablood clot in the nose"
"606","Primary sclerosing cholangitisbile duct disease"
"614","Puerperal depressiondepression after giving birth"
"616","Pulmonary edemafluid build-up in the lungs"
"617","Pulmonary embolismblood clot in the lungs"
"618","Pulmonary fibrosislung scarring"
"621","Puncture wound"
"622","Puncture wound of ankle"
"623","Puncture wound of arm"
"624","Puncture wound of ear"
"625","Puncture wound of eyelid"
"626","Puncture wound of face"
"627","Puncture wound of finger"
"628","Puncture wound of foot"
"629","Puncture wound of hand"
"630","Puncture wound of knee"
"631","Puncture wound, legPuncture wound of leg"
"632","Puncture wound of lip"
"633","Puncture wound of mouth"
"634","Puncture wound of scalp"
"635","Puncture wound of skin"
"636","Puncture wound of toe"
"638","Quaternary syphilislate stage syphilis"
"639","Radial head fracturebroken elbow bone"
"640","Radiator fluidethylene glycol poisoning"
"643","Rectal abscesscollection of pus in the rectum"
"645","Rectal impactioncollection of pus in the rectumFecal impaction of rectum"
"648","Rectovaginal fistulainternal rectum to vagina connection"
"650","Renal arteriovenous malformationAVM, blood vessel abnormality of the kidney"
"653","Renal failure, chronicongoing kidney failure"
"655","Renal traumakidney trauma"
"657","Respiratory failurebreathing failure, ARDS"
"658","Restless legs syndromenervous system disorder"
"665","Rib fracturebroken bone"
"667","Rotator cuff syndromeshoulder injury"
"668","Rotavirus infectionintestinal viral infection"
"669","Rubbingisopropyl alcohol overdose"
"671","Severe Acute Respiratory SyndromeSARS, serious viral pneumonia"
"672","Scalp lacerationscalp cut"
"673","Scalp swelling"
"680","Scoliosiscrooked spine"
"681","Scorpion sting"
"682","Scrotal hematomacollection of blood in skin around testicles"
"683","Seasonal affective disorderintermittent seasonal depression"
"686","Self-inflicted injury"
"688","Septal perforationhole in the skin between nostrils"
"690","Septic hipinfected hip joint"
"691","Septic knee jointinfected knee joint"
"694","Serum sicknessabnormal immune system response"
"705","Situational depression"
"706","Sjogren's syndromedry eyes and mouth"
"707","Skin abscesscollection of pus"
"708","Skin lacerationcut skin"
"709","Skin swelling"
"710","Skull fracturebroken bone"
"711","Slipped capital femoral epiphysisadolescent hip disorder"
"712","Small bowel lymphomaintestinal lymph node cancer"
"715","Smoke inhalation"
"719","Insect bite"
"720","Spinal abscesscollection of spinal pus"
"721","Spinal cord injury, acute"
"722","Splenic infarctiondeath of spleen"
"724","Sprainstretched, torn ligament"
"725","Squamous cell cancercommon skin cancer"
"726","Steroid abuse"
"727","Steroid use"
"728","Steven Johnson syndromerare, serious skin disorder"
"729","Muscle strainpulled muscle"
"730","Strangulation of genitaliaconstriction of genital blood supply"
"733","Stress headachetension headache"
"737","Substance abuse"
"738","Subungual hematomablood under nail"
"739","Suicide"
"740","Supracondylar fractureelbow fracture"
"742","Symptomatic dermatographismexaggerated skin response to pressure"
"746","Tarantula biteTarantula Venoms"
"748","Temporal arteritisinflamed scalp artery"
"749","Temporal lobe epilepsynon-convulsive seizure"
"750","Temporomandibular joint syndromeTMJ, jaw joint pain"
"754","Testicular cancertumor"
"755","Testicular torsiontwisting of testicle"
"756","Third cranial nerve disorderdisorder of eye movement"
"761","Tick paralysistoxin from ticks"
"764","laceration of toecut skin"
"765","Toe swelling"
"768","Tonsillitistonsil infection"
"773","Toxic shock syndromelife-threatening bacterial infection complication"
"776","Transverse myelitisspinal cord inflammation"
"778","Traumatic nerve injury"
"781","Trichomonas vaginalis infectionvaginal infection"
"784","Tubo ovarian abscesspelvic abscess"
"791","Ureaplasma urealyticum infectiongenital infection"
"798","Uterine ruptureuterine tear during childbirth"
"800","Vaccination"
"802","Vaginal cancertumor"
"803","Vaginal foreign body"
"805","Vaginitisvaginal infection inflammation"
"808","Blood vessel headachefamilial basilar artery migraine headache"
"809","Vascular insufficiency due to peripheral artery diseasePAD, claudication, inadequate blood flow"
"812","Vertebral artery dissectionneck artery tear"
"813","Vertebral fracturebroken back or neck bone"
"814","Vertebral- basilar artery insufficiencyinadequate blood flow to the back of the brainvertebro-basilar insufficiency"
"815","Vertebral-basilar strokestroke in the back of the brainVertebro basilar insufficiency"
"817","Vesicovaginal fistulaconnection between the bladder and vagina"
"820","Rattlesnakepit viper bite"
"823","Vitiligoloss of skin pigment"
"824","Vocal cord nodulegrowth on the vocal cords"
"827","Vulvar squamous cell carcinomaskin cancer on female genitalia"
"829","WarfarinCoumadin, Jantoven overdose"
"830","WarfarinCoumadin use"
"834","Whiplash injuryneck injury"
"835","White coat hypertensionelevated blood pressure at doctor's office"
"837","Windshield wiper fluidMethanol poisoning"
"839","Wood alcoholmethanol poisoning"
"840","Yeast infectionfungal infection"
"851","Essential tremorabnormal rhythmic shaking"
"852","Lymphomalymph node cancer"
"853","Osgood Schlatter diseasepainful shinbone inflammation"
"855","Respiratory syncytial virusRSV, pediatric respiratory infection"
"859","Swine FluH1N1 Influenza"
"861","Sagittal sinus thrombosisvenous blood clot in the brain"
"863","Cervical myelopathyspinal cord compression"
"864","Spinal cord tumor"
"866","Brain arteriovenous malformationblood vessel abnormality in the brain, AVMArteriovenous malformation of brain"
"867","Carotid artery stenosisneck artery narrowing"
"870","Hydrocephalusbrain fluid build-up"
"872","Central cord syndrometraumatic spine injury"
"877","Acnepimples"
"879","Allergic conjunctivitisallergic reaction in the eye"
"882","Chemical burn"
"884","Cradle capinfant scalp rash"
"886","Cryptorchidismundescended testicle"
"892","Methicillin-resistant Staphylococcus aureusMRSA, type of bacteria"
"893","Staphylococcus aureustype of bacteria"
"894","Failure to thrive - childFailure to thrive-childFailure to thrive (child)"
"895","Hemochromatosisexcess iron disorder"
"899","Keratosis pilariscommon skin condition"
"907","Coccidiomycosisvalley fever, fungal infection"
"908","Meconium aspirationnewborn respiratory problem"
"913","Mongolian spotsblue birthmark"
"914","Rheumatic fevercomplication of strep infection"
"919","Salmon patchcommon birthmark"
"922","Pepto Bismol or Kaopectate ingestionbismuth"
"923","Long QT Syndromeinherited heart condition"
"925","StrokeCVA, cerebrovascular accident"
"926","Subconjunctival hemorrhageblood covering white part of the eye"
"929","Myotoniaimpaired muscle relaxation"
"930","Carbuncle"
"932","Cat bite"
"933","Dog bite"
"935","Hyperosmolar hyperglycemic stateseverely elevated glucose level"
"936","Strawberry hemangiomablood vessel birthmark"
"944","Bird fluavian influenza"
"946","Cubital tunnel syndromenerve compression in the elbow"
"947","Foot fracturebroken foot"
"950","Tick bite"
"952","Broken heart syndromeTakotsubo cardiomyopathy"
"954","Near drowning"
"955","Clostridium difficileC. Diff"
"956","Sea lice bite"
"957","Broken bonesfractures"
"961","Sun poisoning"
"963","Sever's diseasecalcaneal apophysitis, common cause of heel pain"
"967","Vaginal yeastfungal infection"
"971","Human papillomavirus infectionHPV"
"973","Congenital heart diseaseheart defect at birth"
"974","Lumbar spinal stenosisspinal cord compression"
"978","Idiopathic thrombocytopenia purpuraITP, low platelets"
"980","Sudden Cardiac DeathSCD"
"981","Ventricular tachycardiaVT, dangerous irregular heart beat"
"983","Frostbitetissue damage from cold"
"985","Skin blood vessel damageChilblains, pernio"
"988","Lactose intolerance"
"992","Graves' diseaseoverproduction of thyroid hormone"
"1001","Angioedemaswelling of skin, lips, eyes"
"1002","Hot tub follicullitishair follicle infectionPustular folliculitis"
"1004","Posterior vitreous detachmentcommon eye abnormality"
"1009","Double diabeteshybrid diabetes"
"1011","Birth control pill use"
"1012","Toe fracture"
"1013","Finger fracturebroken finger"
"1014","Hand fracturebroken hand"
"1015","Scaphoid fracturebroken hand bone"
"1020","Mitral regurgitationleaking heart valve"
"1021","Avascular necrosisdeath of bone"
"1024","ThalassemiaMediterranean anemia, inherited blood disorder"
"1031","Addisonian crisisacute adrenal crisis"
"1032","Heart attackacute myocardial infarction, AMI"
"1034","Medication reaction"
"1035","Myxedema comaseverely low thyroid hormone"
"1036","Bed bugs"
"1038","Early menopausepremature ovarian failure"
"1040","Mayer Rokitansky Küster Hauser syndromeMRKH, inherited vaginal abnormality"
"1042","Osteopeniathin bone"
"1045","Muscle tear"
"1046","Gastroparesisstomach muscle malfunction"
"1049","Colon polypslarge intestine tumors"
"1052","Amaurosis fugaxmomentary vision loss in one eye"
"1053","Tendon lacerationtendon cut"
"1054","Foreign body in a wound"
"1055","Wound infectioncut infection"
"1059","Spleen injurysplenic rupture"
"1061","Radiation exposureradiation sickness"
"1063","Tape worm infection"
"1067","Basal cell carcinomaskin cancer"
"1068","Skin tagsacrochordons"
"1070","Micturition syncopefainting with urination"
"1072","Epiploic appendagitisinflammation of colon fat"
"1073","Compression fracturebroken spinal bone"
"1078","Flea bite"
"1081","Gilbert's diseaseliver abnormality"
"1083","Newborn jaundicenewborn skin discoloration"
"1094","Pallister Killian syndromerare inherited disorder"
"1095","Post herpetic neuralgianerve pain after shingles"
"1099","Lewy body dementiacommon type of dementia"
"1116","Listeriaserious bacterial illness"
"1118","Shin splintstibial stress syndrome"
"1119","Sarcomasoft tissue cancer"
"1121","Bone cancerbone tumor"
"1124","Mastocytosisurticaria pigmentosa, skin disease"
"1125","Jellyfish stings"
"1127","Dyslipidemiaabnormal fat levels in the blood"
"1128","Hyperlipidemiaelevated blood fat level"
"1130","Discoid Lupus ErythematosusDLE, autoimmune skin inflammation"
"1132","Triangular fibrocartilage complex injurywrist injury"
"1135","Aponeurotic ptosisage-related drooping eyelid"
"1136","Complex migrainemigraine with neurologic changes"
"1137","Complex regional pain syndromechronic pain disorder"
"1141","Small cell lung cancer"
"1146","Slurred speechdysarthria"
"1155","Tension headachestress headache"
"1159","Retinal vein occlusion"
"1161","Retinal artery occlusion"
"1163","Lemierre's syndrome"
"1165","Thrombotic stroke"
"1166","Varicose veins"
"1167","Absence seizurespetit mal seizures"
"1169","Diabetes mellitus type 1elevated blood sugar"
"1171","H. pylori infectionhelicobacter pylori"
"1180","Juvenile rheumatoid arthritis"
"1181","Atherosclerosishardening of the arteries"
"1183","Seborrheic dermatitis"
"1185","Skin ulcer"
"1189","Friction blister"
"1201","Lumbar spondylosisspine arthritis"
"1202","Hepatitis B"
"1203","Hepatitis C"
"1204","Latex allergy"
"1205","Vitamin B12 deficiency"
"1214","ACLanterior cruciate ligament injury"
"1217","Angiodysplasia of stomachAngiodysplasia of intestines"
"1220","Neuralgianerve pain"
"1221","Spider veins"
"1222","Dandruff"
"1226","Forearm fracture"
"1227","Femur fractureupper leg"
"1232","Knee ligament sprain"
"1233","Erythema multiforme"
"1237","Seromafluid build-up"
"1240","Cyclospora infectionCyclosporiasis"
"1243","Middle East Respiratory SyndromeMERS"
"1245","Male pattern hair losshereditary-patterned baldnessAndrogenic alopecia"
"1255","Focal seizurepartial seizure"
"1257","Generalized seizure disordergeneralized epilepsy"
"1259","Peyronie's diseaseabnormal curvature of the penis"
"1263","Duodenal cancersmall intestine"
"1269","Essential thrombocythemiaexcessive blood platelets"
"1277","Extragonadal germ cell tumors"
"1285","Food allergy"
"1289","Foot ulcer"
"1291","Fragile X syndromegenetic disorder"
"1297","Glomerulonephritiskidney disease"
"1299","Graves eye diseaseGraves ophthalmopathy"
"1301","Head injury in childrenNon-accidental traumatic head injury to child"
"1303","Hemorrhagic strokeCVA, cerebrovascular accident"
"1311","Hyperkeratosisskin thickening"
"1315","Lacunar stroke"
"1319","Large cell lung cancer"
"1321","Malignant Mesothelioma"
"1323","Melasmacholoasma"
"1325","Morton's neuroma"
"1329","Neuroblastoma"
"1331","Paget disease of the bonepaget's disease of the bone"
"1337","Paraphimosis"
"1345","Post-polio syndrome"
"1347","Posterior cruciate ligament injuriesPCL injuryRupture of posterior cruciate ligamentSprain of posterior cruciate ligament of knee"
"1351","Rectocele"
"1353","Retinitis pigmentosa"
"1355","Retinoblastomapediatric eye cancer"
"1359","Shoulder sprain"
"1361","Squamous cell lung cancer"
"1365","Tay-Sachs disease"
"1373","Traumatic hip dislocationtraumatic dislocation of hip"
"1375","Traveler's diarrheaMontezuma's revenge"
"1381","Wilms' Tumor"
"1387","Amyloidosis"
"1389","Arnold Chiari malformation"
"1393","Broken jawmandible fracture"
"1405","Dermatofibroma"
"1423","Broken legleg fracture"
"1425","Prediabeteshigh blood sugar"
"1427","Factor V Leiden Deficiency"
"1429","Subluxation"
"1433","Supraventricular tachycardiaSVT"
"1435","Traumatic brain injury"
"1441","Lymphadenitis"
"1445","Stuttering"
"1457","Greater trochanteric bursitiship bursitis"
"1465","Onycholysis"
"1469","Complex partial seizurespsychomotor epilepsy"
"1479","Blocked tear ductdacryostenosis"
"1487","Bacterial tracheitis"
"1491","Oral leukoplakia"
"1499","Cervical dysplasia"
"1505","Finger amputation"
"1517","Cutaneous T cell lymphoma"
"1523","Breast cyst"
"1525","Ductal carcinoma in situDCIS, breast cancer"
"1529","Triple negative breast cancer"
"1531","Invasive ductal carcinoma"
"1533","Invasive lobular carcinoma"
"1537","Failure to thrive - adultfailure to thrive"
"1540","Factor X Deficiency"
"1542","Congenital Adrenal HyperplasiaCAH"
"1544","Necrotizing enterocolitisNEC"
"1546","Sandhoff disease"
"",""
"",""
"118","Burkitt lymphomalymph node tumor"
"314","Genital wartsHPV, Human papillomavirus infection"
"327","Hand foot and mouth diseaseCoxsackie virus"
"416","Lead overdoselead poisoning"
"417","Lead poisoningtoxicity"
"571","Pharyngeal pouchZenker's diverticulum, weakening of the esophageal wall"
"700","Shoulder joint dislocationdislocated shoulder"
"780","Trichinella spiralis infectiontrichinosis, parasitic infection from undercooked pork"
"836","Whooping coughpertussis"
"875","HIV AIDSHuman Immunodeficiency Virus, Acquired Immune Deficiency SyndromeHuman immunodeficiency virus [HIV] disease"
"887","Dyslexiareading disorder"
"889","Enuresisbed wetting"
"902","Pubic lice"
"968","Ricketschildhood bone disease"
"1041","Obesity"
"1060","Liver injuryliver trauma"
"1064","Teething"
"1138","Reflex sympathetic dystrophycomplex pain syndrome"
"1142","Difficulty swallowingdysphagia"
"117","Bulimia nervosabinge eating, vomiting"
"165","Cholelithiasisgallstones"
"174","Coarctation of aortanarrowing of the aorta"
"175","Cocaine abuse"
"193","Corneal foreign bodyobject in the eye"
"200","Cutaneous larva migransparasitic skin disease"
"353","Herpes vulvovaginitisviral infection of the vaginaHerpesviral vulvovaginitis"
"449","Mallet fingerfinger tendon rupture"
"455","Measlesviral disease with typical rash"
"468","Methyl alcohol intoxicationmethanol"
"577","Pityriasis roseainflammatory skin rash"
"666","Rickettsial infectionstype of bacterial infection"
"689","Septic arthritisjoint infection"
"702","Sickle cell crisiscomplication of sickle cell disease"
"762","Tick borne encephalitisbrain infection"
"783","Tuberculosis infectionTB"
"786","Typhoid feversalmonella typhi infection from contaminated food or water"
"854","Nasal foreign bodyunnatural object in the nose"
"856","Hodgkin's diseasecancer of the lymph system"
"901","Body lice"
"906","Cat scratch feverbacterial infection after cat scratch"
"960","Sunburn"
"998","Sudden Infant Death SyndromeSIDS"
"1076","Mucormycosisfungal infection"
"1091","Japanese encephalitisviral brain infection"
"1129","Hemolytic uremic syndromeHUS, red blood cell destruction, kidney disease"
"1177","Foreign body in ear"
"1198","Astigmatismvision defect"
"1281","Familial dysautonomiagenetic disorder"
"1293","Friedreich's Ataxiagenetic disorder"
"1307","Excessive hair growthHirsutism"
"1513","Scurvyvitamin C deficiency"
"160","Chlamydia trachomatis infectionSTD"
"171","Chronic pain"
"230","Dysfunctional uterine bleedingabnormal vaginal bleeding"
"313","Genital herpesHSV type 2 infection"
"358","Hordeolumstye of eye"
"490","Mycoplasma genitaliumsexually transmitted disease"
"496","Myringitis bullosaear drum infection"
"511","Neisseria gonorrhea infectionsexually transmitted disease"
"592","Polyphagiaovereating"
"603","Priapismpersistent erection"
"612","Pruritus anianal itching"
"660","Retropharyngeal abscessthroat abscess"
"692","Septic shocklow blood pressure from serious blood infection"
"696","Sexually transmitted diseaseSTD"
"771","Torticollis, spasmodicneck muscle spasm"
"794","Urinary tract malformation"
"871","Cerebrospinal fluid otorrhealeakage of brain fluid from the ear"
"900","Head lice"
"911","Pinwormscommon intestinal worm"
"965","Down syndromecommon genetic disorder"
"966","Hair lossalopecia"
"977","Molesnevi"
"1010","Alopecia areatacircular, irregular hair loss"
"1027","Pterygiumgrowth on the eye"
"1062","Marfan syndromerare inherited disease"
"1140","Golfer's elbowmedial epicondylitis of elbow"
"1144","Bullous myringitismiddle ear infection"
"1156","Nearsightednessmyopia"
"1192","Spina bifida"
"1195","Chalazion"
"1231","Finger dislocation"
"1249","Scleritisinflammation of the eye"
"1273","Herpanginamouth blisters"
"1283","Farsightednesshyperopia/hypermetropia"
"1333","Parathyroid cancer"
"1349","Presbyopiaaging vision"
"1379","Tropical sprue"
"1417","Ichthyosis"
"1431","Vitamin D deficiency"
"1449","Tic Disorder"
"1473","Retinopathy"
"8","Achilles tendonitis (heel tendon inflammation)"
"136","Cavernous sinus thrombosishead vein blood clot"
"229","Dry socketpain after tooth removal"
"250","Epidural abscessbrain or spine pus collection"
"588","Poliomyelitispolio"
"670","Salmonella infectioncommon bacterial intestinal infection"
"697","Shigellosisbacterial intestinal infection"
"703","Sickle cell diseasedisease of red blood cells"
"807","Varicoceletesticular vein enlargement"
"904","Rocky mountain spotted feverbacterial infection spread by ticks"
"938","Tourette syndromerepetitive involuntary movements, vocalizations"
"949","Histoplasmosisfungal infection"
"1057","Hidradenitis suppurativachronic collections of pus"
"1131","Livedo reticularispurplish skin discoloration"
"1196","Eustachian tube dysfunctioninner ear tube"
"1230","Hip dislocation"
"1357","Retrobulbar Neuritis"
"1409","Fibromuscular dysplasiaFMD"
"46","Anorexia nervosa (eating disorder)"
"258","Esophageal cyst"
"292","Filariasiselephantiasis"
"328","Hantavirus infectionrare, serious viral infection"
"384","Infectious mononucleosisEpstein Barr virus, ""Mono"""
"425","Lichen planuschronic skin inflammation"
"431","Lipomabenign fatty tumor"
"456","Meckel's diverticulumbulge in small intestine"
"474","Mononucleosiscommon viral illness"
"524","Optic neuritisoptic nerve inflammation"
"531","Mouth canceroropharyngeal cancer"
